feature,permutation_importance,permutation_std,rank
preseason_prior_woba,0.000876876162734618,8.710851047487085e-05,1
xwoba_minus_prior_woba_22g,0.0002356468940667383,3.1341997765648976e-05,2
pa_22g,4.8109777174894647e-05,1.4326056347783278e-05,3
ev_p90_22g,1.535850816934258e-05,8.984552651473845e-06,4
ev_p90_resid_22g,8.259046412947213e-06,5.464826768709267e-06,5
xwoba_resid_22g,8.018725663638735e-06,3.208633539127377e-06,6
preseason_prior_iso,6.458787116063913e-06,6.48394181090405e-06,7
bb_rate_22g,5.868822890264686e-06,7.552360949537827e-06,8
abs_xwoba_minus_woba_22g,3.5634967800360133e-06,6.261253503145931e-06,9
barrel_rate_22g,2.884341954208738e-06,3.8100030599773737e-06,10
k_rate_22g,1.6748562225556499e-06,2.0217646067592553e-06,11
iso_22g,1.1880227498971766e-06,8.320580924758317e-06,12
xwoba_22g,1.1808322923043934e-06,6.620838128264696e-06,13
league_babip,0.0,0.0,14
league_k_rate,0.0,0.0,15
league_bb_rate,0.0,0.0,16
league_woba,0.0,0.0,17
league_iso,0.0,0.0,18
hardhit_rate_22g,-6.329659531359516e-07,1.5140778451328032e-06,19
barrel_resid_22g,-8.717506985338432e-07,2.9756743138601125e-06,20
preseason_prior_k_rate,-2.3956709593198545e-06,3.1478581548226778e-06,21
hardhit_resid_22g,-3.1664820633977768e-06,5.742089333650712e-06,22
xwoba_minus_woba_22g,-7.5117834712212015e-06,4.7143677582536096e-06,23
babip_22g,-1.2811570419408012e-05,6.054986586899711e-06,24
