player,batter,team,pa_cutoff,woba_cutoff,xwoba_22g,gap_xwoba_minus_woba,abs_gap_xwoba_minus_woba,gap_side,pred_delta_mean,verdict,in_mainstream_top20
Mickey Moniak,666160,COL,77,0.4331168831168831,0.3096693116883117,-0.12344757142857143,0.12344757142857143,over-performing xwOBA (actual wOBA above expected),-0.01173348962680319,middle,False
Moisés Ballesteros,694208,CHC,57,0.48508771929824557,0.36351266666666665,-0.12157505263157892,0.12157505263157892,over-performing xwOBA (actual wOBA above expected),-0.0609032511641036,middle,False
Bo Naylor,666310,CLE,58,0.20948275862068966,0.3292651551724138,0.11978239655172412,0.11978239655172412,under-performing xwOBA (actual wOBA below expected),-0.0043526355917732394,middle,False
Harrison Bader,664056,SF,52,0.15865384615384615,0.27546925,0.11681540384615385,0.11681540384615385,under-performing xwOBA (actual wOBA below expected),-0.01139763028212404,middle,False
Ke'Bryan Hayes,663647,CIN,65,0.1901639344262295,0.30221211475409837,0.11204818032786887,0.11204818032786887,under-performing xwOBA (actual wOBA below expected),0.005097503479406501,fake_cold,False
Joey Wiemer,686894,WSH,51,0.3979591836734694,0.2872709387755102,-0.1106882448979592,0.1106882448979592,over-performing xwOBA (actual wOBA above expected),0.029082613554796785,sleeper,False
Miguel Andújar,609280,SD,56,0.37410714285714286,0.26432475,-0.10978239285714286,0.10978239285714286,over-performing xwOBA (actual wOBA above expected),-0.03155720085621227,middle,False
Christian Yelich,592885,MIL,51,0.3673469387755102,0.2589988979591837,-0.10834804081632654,0.10834804081632654,over-performing xwOBA (actual wOBA above expected),-0.04161642463824638,middle,False
Bryson Stott,681082,PHI,72,0.22083333333333333,0.3111363472222222,0.0903030138888889,0.0903030138888889,under-performing xwOBA (actual wOBA below expected),-0.007766619860385202,middle,False
Eugenio Suárez,553993,CIN,96,0.36032608695652174,0.3104075903614458,-0.08899000000000001,0.08899000000000001,over-performing xwOBA (actual wOBA above expected),-0.021815134112681836,middle,False
