player_key,player,year,mlbam,first22_woba,ros_woba,ros_babip,ros_iso,cosine_sim
andy_pages,james mccann,2019,543510,0.4417582417582418,0.33629242819843347,0.3288888888888889,0.17464788732394365,0.9340619458580117
andy_pages,jarren duran,2023,680776,0.4431818181818182,0.341025641025641,0.34806629834254144,0.17254901960784313,0.9328404979254776
andy_pages,xander bogaerts,2022,593428,0.4032967032967033,0.3673507462686567,0.34332425068119893,0.1522198731501057,0.9091530681966477
andy_pages,randal grichuk,2023,545341,0.41923076923076924,0.3246031746031746,0.27307692307692305,0.2011331444759207,0.9020682336993182
andy_pages,dansby swanson,2018,621020,0.40309278350515465,0.3066265060240964,0.2616487455197133,0.1520618556701031,0.9015595871423507
ben_rice,eric thames,2017,519346,0.5595744680851064,0.34555555555555556,0.29694323144104806,0.22448979591836735,0.9615897337640299
ben_rice,dan vogelbach,2019,596129,0.4810344827586207,0.32419700214132763,0.21862348178137653,0.1964735516372796,0.9596870705093588
ben_rice,kennys vargas,2016,573627,0.44784946236559137,0.26951219512195124,0.225,0.18666666666666665,0.9592878487576166
ben_rice,tyler o'neill,2024,641933,0.453804347826087,0.34827127659574464,0.29775280898876405,0.24924924924924927,0.9563688299224112
ben_rice,brad miller,2020,543543,0.4680232558139535,0.26964285714285713,0.20454545454545456,0.12162162162162163,0.9435383712411858
mike_trout,Mike Trout,2019,545361,0.5044444444444445,0.46181262729124234,0.3,0.3564356435643565,0.9246177519673869
mike_trout,juan soto,2022,665742,0.3958333333333333,0.3858540925266904,0.24709302325581395,0.20935412026726058,0.9212406873202494
mike_trout,trent grisham,2020,663757,0.38021978021978026,0.360377358490566,0.3191489361702128,0.18571428571428572,0.9141062162605375
mike_trout,sean murphy,2023,669221,0.4218085106382979,0.3607558139534884,0.28431372549019607,0.20068027210884354,0.9061846414638506
mike_trout,matt carpenter,2016,572761,0.38247422680412374,0.39557522123893807,0.3116438356164384,0.23857868020304573,0.9061526503337366
moises_ballesteros,ryan raburn,2016,430605,0.4724489795918368,0.28259803921568627,0.2636363636363636,0.14444444444444443,0.9328762834886221
moises_ballesteros,jake marisnick,2015,545350,0.47027027027027024,0.2712014134275618,0.2742857142857143,0.12087912087912087,0.9225053008210367
moises_ballesteros,trayce thompson,2015,572204,0.49921875,0.3021739130434783,0.2553191489361702,0.16393442622950818,0.8947034948240823
moises_ballesteros,erik gonzález,2018,570481,0.42909090909090913,0.26352941176470585,0.2857142857142857,0.048192771084337366,0.8862229329399831
moises_ballesteros,tommy la stella,2016,600303,0.45263157894736844,0.32211538461538464,0.2972972972972973,0.06315789473684208,0.8846283347837554
