feature,mean_abs_shap
pa_22g,0.0070832677665664135
preseason_prior_woba,0.005017080278426784
ev_p90_22g,0.004199861391207209
ab_22g,0.0031378257997849495
barrel_rate_22g,0.002489643065274834
pitches_per_pa_22g,0.002017737625549092
xwoba_22g,0.0019092238478224442
whiff_per_swing_22g,0.0018329563099715163
league_woba,0.0013573911006921908
called_strike_rate_22g,0.0010637875688520207
ev_mean_22g,0.001063600709396622
ops_22g,0.0009956762329944174
woba_22g,0.0009811994961002035
preseason_prior_iso,0.0009790907863274285
hardhit_rate_22g,0.0009387219301377888
bb_rate_22g,0.0009252277006744903
iso_22g,0.000794618199518939
la_mean_22g,0.0007617367244357381
preseason_prior_k_rate,0.000709739498621782
babip_22g,0.0006715923071581795
zone_rate_22g,0.0006526725600121835
chase_rate_22g,0.0006383684285631992
hr_rate_22g,0.0006086530742959152
xwoba_minus_woba_22g,0.0006060749652266014
avg_22g,0.0005939053086732129
k_rate_22g,0.0004963616561635917
slg_22g,0.00047536389107491993
swing_rate_22g,0.0004700575072696498
obp_22g,0.00037430007040022
league_bb_rate,9.13819995398363e-05
league_k_rate,0.0
league_babip,0.0
league_iso,0.0
